Location name,Location,Describe,Evaluate,Image,Keywords
Huu Nghi border gate,Lang Son,"This is a major international border gate between Vietnam and China, located on National Highway 1A.",4.7/5,https://tse1.mm.bing.net/th?id=OIP.Wf6JQTisUsMbq6-2euQeKQHaFj&pid=Api&P=0&h=220,"""sightseeing"", ""shopping"", ""culture"", ""photography"""
Bong Lau Pass,Lang Son,It is a beautiful pass with winding curves and breathtaking natural scenery.,4.2/5,https://tse4.mm.bing.net/th?id=OIP.bjd29nTPNt90j6mM3SC0qAHaEX&pid=Api&P=0&h=220,"""sightseeing"", ""taking photos"""
Tien Pagoda,Lang Son,"Tien Pagoda is located on Dai Tuong Mountain, associated with many legendary stories and bearing a strong Buddhist imprint.",4.3/5,https://tse2.mm.bing.net/th?id=OIP.FxWdyg8edX5JSQPZPlZ8dwHaE7&pid=Api&P=0&h=220,"""temple"" , ""sightseeing"" , ""culture"""
Fansipan Mountain Peak,Lao Cai,"Fansipan is known as the ""Roof of Indochina"" with an altitude of 3,147m.",4.8/5,https://limtravel.vn/wp-content/uploads/2020/10/tour-leo-nui-fansipan-3-1.jpg,"""mountain"", ""sightseeing"", ""exploration"", ""photography"""
Heaven's Gate O Quy Ho,Lao Cai,"O Quy Ho Pass is one of the ""Four Great Passes"" of the Northwest, connecting Lao Cai and Lai Chau.",4.5/5,https://media.techcity.cloud/vietnam.vn/2023/09/cong-troi-o-quy-ho-sapa_26-09-2022_175234433.jpg,"""pass"", ""sightseeing"", ""taking photos"""
Bac Ha market,Lao Cai,"Bac Ha market is famous for brocade items, agricultural products and typical dishes of the H'Mong and Dao ethnic people.",4.3/5,https://tse1.mm.bing.net/th?id=OIP.4K8zaZgInJkSkftXRLz_-wHaFA&pid=Api&P=0&h=220,"""market"", ""sightseeing"", ""dining"", ""shopping"""
Love Falls,Lao Cai,It is a romantic destination with clear blue water flowing through primeval forests.,4.5/5,https://docmiendatnuoc.com/wp-content/uploads/2019/07/thac-tinh-yeu-sapa-1.jpg,"""waterfall"", ""stream"", ""sightseeing"", ""photography"""
Thuong Temple,Lao Cai,"It is a place to worship Tran Hung Dao, a talented general in Vietnamese history.",4.3/5,https://52hz.vn/wp-content/uploads/2023/01/31-den-thuong-lao-cai-chinh-dien.jpg,"""temple"", ""sightseeing"", ""photography"", ""history"""
Tan Lap floating village,Long An,"It is a large flooded Melaleuca forest, famous for its nearly 5km long path through the forest.",4.4/5,https://disantrangan.vn/wp-content/uploads/2021/05/lang_noi_tan_lap_18-1600x1066.jpg,"""forest"", ""sightseeing"", ""taking photos"""
Hundred Pillar Ancient House,Long An,It is a unique ancient house with 120 exquisitely carved precious wooden columns.,4.5/5,https://tse4.mm.bing.net/th?id=OIP.E5QmqrexARskIuVpHN_f3wHaFR&pid=Api&P=0&h=220,"""sightseeing"", ""photography"", ""culture"", ""monuments"""
Ton Thanh Pagoda,Long An,"This pagoda is where Mr. Nguyen Dinh Chieu once lived and composed the oration ""Orientation for the martyr Can Giuoc"".",4.6/5,https://tse4.mm.bing.net/th?id=OIP.4g4eE5ZOp5g9_9DlwrJZrwHaEw&pid=Api&P=0&h=220,"""temple"" , ""sightseeing"" , ""culture"""
Vam Co River,Long An,"Two large rivers flow through Long An, creating a unique river beauty.",4.2/5,https://tse2.mm.bing.net/th?id=OIP.ZorRqKgh2xWA02dJByJFpQHaEK&pid=Api&P=0&h=220,"""river"", ""sightseeing"", ""photography"""
Tan An Night Market,Long An,It is the ideal place to enjoy local cuisine and shop for Long An specialties,4.7/5,https://tse1.mm.bing.net/th?id=OIP.pqR8Xckg_RDQQn2YZLpmegHaEK&pid=Api&P=0&h=220,"""market"", ""sightseeing"", ""dining"", ""shopping"""
Phu Nhai Church,Nam Dinh,"It is one of the largest and most ancient churches in Vietnam, with a unique Gothic architectural style.",4.5/5,https://photo-cms-vovworld.zadn.vn/w500/Uploaded/vovworld/yzfsm/2020_01_10/kpvn014_AXJU.jpg,"""church"", ""sightseeing"", ""taking photos"""
Tran Temple,Nam Dinh,"Located in Loc Vuong ward, Nam Dinh city, Tran temple worships the Tran kings, associated with the heroic history of this dynasty.",4.3/5,https://tse3.mm.bing.net/th?id=OIP.CNccGQUyOTTpBixYdfCL5wHaE7&pid=Api&P=0&h=220,"""temple"", ""sightseeing"", ""photography"", ""history"""
Xuan Thuy National Park,Nam Dinh,"This is a nature reserve located in Giao Thuy district, in the lower reaches of the Red River.",4.6/5,https://tse4.mm.bing.net/th?id=OIP.DfkyYRBhnuiU-rR43dUeJAHaFS&pid=Api&P=0&h=220,"""forest"", ""sightseeing"", ""taking photos"""
Vieng Market,Nam Dinh,This is a special market that only takes place once a year on the night of the 7th and early morning of the 8th of the first lunar month.,4.6/5,https://phuday.com/wp-content/uploads/2020/01/cho-vieng-phu-day-nam-dinh-768x432.jpg,"""market"", ""sightseeing"", ""dining"", ""shopping"""
Ho Vi Xuyen,Nam Dinh,"The lake is located in Nam Dinh city, is an ideal place to relax, take a walk, and enjoy the green and peaceful space.",4.5/5,https://tse3.mm.bing.net/th?id=OIP.mrQZh6uVh3jWDHuvlXNjHwHaFj&pid=Api&P=0&h=220,"""lake"", ""sightseeing"", ""taking photos"""
Lotus Village,Nghe An,"It is a simple thatched house, Coc well, and memorabilia associated with Uncle Ho's childhood.",4.7/5,https://tse3.mm.bing.net/th?id=OIP.3gHvKfVcK1kovpdqLo2OtwAAAA&pid=Api&P=0&h=220,"""history"", ""sightseeing"", ""monuments"", ""culture"""
Cua Lo Beach,Nghe An,"One of the most beautiful beaches in the Central region, Cua Lo attracts tourists with fine white sand, clear blue sea water and fresh seafood.",4.6/5,https://tse1.mm.bing.net/th?id=OIP.hzSUzcdB1G9w2e52jf6HHAHaD-&pid=Api&P=0&h=220,"""sea"", ""play"", ""take photos"", ""relax"""
Truong Bon relic site,Nghe An,"It is an important historical site, a place to commemorate the heroic martyrs who sacrificed their lives in the resistance war against the US.",4.5/5,https://tse3.mm.bing.net/th?id=OIP.XdhDVeaTTt6NYVOiOOHpSAHaEK&pid=Api&P=0&h=220,"""history"", ""sightseeing"", ""monuments"", ""culture"""
Thanh Chuong tea hill,Nghe An,"Dubbed the ""tea island"", Thanh Chuong tea hill is an ideal place to take photos and enjoy fresh air.",4.5/5,https://cdn.vntrip.vn/cam-nang/wp-content/uploads/2017/08/doi-che-thanh-chuong.jpg,"""hill"", ""sightseeing"", ""taking photos"""
Tham Om Cave,Nghe An,"It is a large cave, with many magical stalactites and unique shapes.",4.3/5,https://tse1.mm.bing.net/th?id=OIP.dqYi6NCHovDo0Srdp6NMwQHaE8&pid=Api&P=0&h=220,"""cave"", ""exploration"", ""photography"""
Trang An,Ninh Binh,"As a World Cultural and Natural Heritage, Trang An stands out with its majestic mountain scenery and unique cave system.",4.6/5,https://dulichninhbinh.com.vn/mypicture/images/2020/10/Trang-An-2.jpg,"""sightseeing"", ""photography"", ""culture"", ""monuments"""
Tam Coc,Ninh Binh,"Dubbed ""Ha Long Bay on land"", with beautiful natural scenery of limestone mountains, rice fields, and Ngo Dong river.",4.7/5,https://tse2.mm.bing.net/th?id=OIP.e1wQWQ7OBNItnMauRi6uwgHaEo&pid=Api&P=0&h=220,"""sightseeing"", ""photography"", ""culture"", ""monuments"""
Hoa Lu ancient capital,Ninh Binh,"As the capital of Dai Co Viet under the Dinh and Early Le dynasties, Hoa Lu preserves many important historical relics.",4.5/5,https://tse3.mm.bing.net/th?id=OIP.HKYPnw54Dsgh0XZTqKPKyQHaE7&pid=Api&P=0&h=220,"""history"", ""sightseeing"", ""monuments"", ""culture"""
Cuc Phuong National Park,Ninh Binh,"It is Vietnam's first national park with rich flora and fauna, thousand-year-old trees and prehistoric caves.",4.8/5,https://tse2.mm.bing.net/th?id=OIP.V7YRaVEqqQndhpDcL0tNSQHaD8&pid=Api&P=0&h=220,"""forest"", ""sightseeing"", ""taking photos"""
Ho Dong Chuong,Ninh Binh,"Dong Chuong Lake is a natural lake located in the middle of a pine forest, very peaceful and poetic.",4.3/5,https://dulichdiaphuong.com/imgs/tinh-ninh-binh/ho-dong-chuong.jpg,"""Lake"", ""photography"", ""sightseeing"", ""fun"""
Vinh Hy Bay,Ninh Thuan,"One of the four most beautiful bays in Vietnam, Vinh Hy impresses with its clear blue sea, fine white sand, and brilliant coral reefs.",4.6/5,https://tse1.mm.bing.net/th?id=OIP.1gJ08quIQVapIDmYLV1GRgHaE7&pid=Api&P=0&h=220,"""bay"", ""sightseeing"", ""photography"", ""relaxation"", ""fun"""
Nui Chua National Park,Ninh Thuan,"It is a nature reserve with a unique dry forest ecosystem, recognized by UNESCO as a World Biosphere Reserve.",4.7/5,https://media.mia.vn/uploads/blog-du-lich/vuon-quoc-gia-nui-chua-khu-du-tru-sinh-quyen-moi-cua-the-gioi-1-1658800083.jpg,"""forest"", ""sightseeing"", ""taking photos"""
Po Klong Garai Tower,Ninh Thuan,"This is the place to worship King Po Klong Garai, demonstrating the sophisticated architecture and sculpture of the Cham people.",4.5/5,https://tse3.mm.bing.net/th?id=OIP.LO2tIYILI_ngw7Kxfq0L7AHaE5&pid=Api&P=0&h=220,"""tower"", ""sightseeing"", ""photography"", ""relics"""
Ninh Thuan vineyard,Ninh Thuan,These are famous vineyards with many grape products produced here,4.2/5,https://tse2.mm.bing.net/th?id=OIP.6FjDfpDUcJ0jZrJAVJKVGQHaEK&pid=Api&P=0&h=220,"""sightseeing"", ""eating"", ""shopping"", ""taking photos"""
Ba Be Lake,Ninh Thuan,"This is a large saltwater lake in Ninh Thuan, home to many rare aquatic species",4.5/5,https://tse2.mm.bing.net/th?id=OIP.tZEynIwFJnKOPgKiAntpigHaEK&pid=Api&P=0&h=220,"""Lake"", ""photography"", ""sightseeing"", ""fun"""
Hung Temple,Phu Tho,"It is a special national historical relic site, where the Hung Kings - the first founders of the Vietnamese people are worshiped.",4.7/5,https://tse4.mm.bing.net/th?id=OIP.14_huh2INyBfjWTu11d8hAHaDX&pid=Api&P=0&h=220,"""temple"", ""sightseeing"", ""photography"", ""history"""
Hung Lo ancient village,Phu Tho,"Famous for ancient houses hundreds of years old, and traditional crafts such as making banh chung and banh giay.",4.5/5,https://tse1.mm.bing.net/th?id=OIP.PuN6PGPDxH26j32lV3PDNwHaFj&pid=Api&P=0&h=220,"""old village"", ""sightseeing"", ""history"", ""photography"""
Green Pearl Island,Phu Tho,"It is an eco-tourism area combined with a resort, with fresh natural landscapes, water parks, thrilling games and hot springs.",4.7/5,https://tse1.mm.bing.net/th?id=OIP.7efND2yzFvvpeKQnvS52ygHaEb&pid=Api&P=0&h=220,"""sightseeing"", ""taking photos"", ""relaxing"", ""having fun"", ""eating"""
Xuan Son National Park,Phu Tho,"It is one of the largest nature reserves in the North, featuring a tropical forest ecosystem and rich flora and fauna.",4.6/5,https://tse2.mm.bing.net/th?id=OIP.P0f3XiQklTZTeh11_svtbwHaFt&pid=Api&P=0&h=220,"""forest"", ""sightseeing"", ""taking photos"""
Thanh Thuy hot spring,Phu Tho,This is an area with modern resort and treatment services.,4.5/5,https://tuongtaccongdong.s3.amazonaws.com/a4c1ca5a-cbd3-4f89-a276-0a70527ffa7a/79554a07-25ed-475e-b814-d62ae7bd06ea.jpg,"""stream"", ""photography"", ""play"", ""relax"""
Ganh Da Dia,Phu Yen,"A unique natural wonder, Ganh Da Dia features basalt columns stacked like saucers.",4.7/5,https://tse4.mm.bing.net/th?id=OIP.wBFmyTIu6USelBkHI5SOBQHaE7&pid=Api&P=0&h=220,"""sea"" , ""play"" , ""take photos"" , ""sightseeing"""
Hon Yen,Phu Yen,"It is a small island with pristine landscape, highlighted by beautiful coral reefs.",4.6/5,https://tse2.mm.bing.net/th?id=OIP.5r-1v-qQkq4A7RZF8ZALHgHaE7&pid=Api&P=0&h=220,"""sightseeing"", ""taking photos"", ""having fun"""
Dai Lanh lighthouse,Phu Yen,"It is the easternmost point of Vietnam, the place to welcome the first sunrise on the mainland",4.5/5,https://tse1.mm.bing.net/th?id=OIP.Q7kI4toZEEYCxS-pM3yRfgHaDX&pid=Api&P=0&h=220,"""sea"", ""sightseeing"", ""taking photos"""
Triem Duc hot spring,Phu Yen,It is an interesting destination to relax and soak in warm mineral water.,4.6/5,https://tripmap.vn/wp-content/uploads/2021/07/suoi-nuoc-khoang-triem-duc-1626245826513.jpg,"""stream"", ""sightseeing"", ""relaxation"", ""photography"""
Nhan Tower,Phu Yen,"Nhan Tower, located on Nhan Mountain in Tuy Hoa city, is an ancient and sacred Cham architectural work.",4.4/5,https://tse3.mm.bing.net/th?id=OIP.j7Y3zi_M9U91OkWt3Da8zQHaJQ&pid=Api&P=0&h=220,"""tower"", ""sightseeing"", ""photography"", ""relics"""
Phong Nha Cave,Quang Binh,"Phong Nha - Ke Bang, recognized by UNESCO as a World Natural Heritage.",4.8/5,https://tse4.mm.bing.net/th?id=OIP.JdKfzuou2kznDok9wau7EQHaD8&pid=Api&P=0&h=220,"""caving"", ""sightseeing"", ""exploring"", ""taking photos"""
Da Nhay Beach,Quang Binh,It is a prominent place with uniquely shaped rocks on the beach.,4.4/5,https://cdn3.ivivu.com/2023/04/bai-da-nhay-ivivu-1.jpg,"""sea"", ""sightseeing"", ""taking photos"""
Temple of Holy Mother Lieu Hanh,Quang Binh,It is a sacred place to worship saints in Vietnamese folk beliefs.,4.3/5,https://tse2.mm.bing.net/th?id=OIP.lCVtkvtMPFPPCOoehvKPqgHaFj&pid=Api&P=0&h=220,"""temple"", ""sightseeing"", ""photography"", ""history"""
Memorial house of General Vo Nguyen Giap,Quang Binh,It is a place to store memorabilia associated with General Vo Nguyen Giap's childhood.,4.5/5,https://tse4.mm.bing.net/th?id=OIP.PCk93VVT5QVj78DW3MA54AHaE8&pid=Api&P=0&h=220,"""history"", ""sightseeing"", ""monuments"", ""culture"""
Chay River,Quang Binh,"An ideal destination for adventure lovers, Chay River combines the beauty of rivers and caves.",4.4/5,https://tse1.mm.bing.net/th?id=OIP.5-sP9bg-nnIa5GiTqFgWXQHaEK&pid=Api&P=0&h=220,"""sightseeing"", ""taking photos"", ""exploring"""
Hoi An ancient town,Quang Nam,"The houses are ancient and have unique architecture such as: houses with stone roofs, but the golden walls bring beauty.
peaceful. In particular, you can relax and walk along the narrow paths around the Hoai River",4.7/5,http://surl.li/tocerf,"ancient, stone pillars, yellow walls, narrow streets, Hoai river"
An Bang Beach,Quang Nam,"Possessing a peaceful, pristine beauty with golden beaches, blue sea, extremely cool and fresh climate.",4.0/5,http://surl.li/hdwlva,"Sea, golden sand, cool, peaceful, pristine"
Chien Dan Tower,Quang Nam,"Understand more about Champa culture, own a house displaying typical sculptures, countless rare items",3.5/5,http://surl.li/sdynak,"Champa, sculpture, rare"
Cinnamon Peak,Quang Nam,"With an altitude of 1400km, considered the most beautiful mountain of the majestic Truong Son, you can immerse yourself in the majestic landscape.
beautiful nature. You feel like you are lost in a fairyland, extremely peaceful and romantic. Especially along the way to reach Que Peak, you will in turn own beautiful pictures at Azut heaven gate, Ra-ai waterfall or Co Tu community.",4.0/5,http://surl.li/ympldh,"mountain, nature, majestic, fairyland, peaceful, Truong Son, Azut, Ra-ai, Co Tu, romantic"
My Son Sanctuary,Quang Nam,"A valley with a diameter of 2km, this place is surrounded by mountains and hills, extremely hidden. This location used to be a place for worshiping
Champa dynasty. Discover so many precious heritages when coming here.",4.5/5,http://surl.li/qntmjh,"valley, 2km, mountains and hills, hidden away, offerings, Champa, heritage"
Thien An Mountain,Quang Ngai,"It is a mountain that has long been famous for its majestic scenery and brings an extremely great historical value, with poetic beauty.
The dreaminess and gentleness it brings is a special feature that attracts tourists every year.",4.0/5,http://surl.li/xvbmjs,"mountain, ancient, majestic, historical, poetic, magical."
My Khe Beach,Quang Ngai,"One of the most attractive beaches on the planet, there are many beautiful sea view hotels suitable for enjoying your vacation.",4.5/5,http://surl.li/exhizd,"sea, glamour, vacation, hotel, white float"
Sa Huynh salt field,Quang Ngai,"The most important salt pan in our beloved Central region, white salt flats, coming here you will experience daily activities.
of the people here, promises to bring you experiences very different from tourist activities such as going to the forest or going to the sea.",4.0/5,http://surl.li/coczhv,"salt, activity, Central region, experience"
White Falls,Quang Ngai,"The scenery here is impressive with pristine, fresh mountains and forests, waterfalls pouring down in the middle of a landscape surrounded by countless trees, rivers and streams with white foam.",4.0/5,http://surl.li/vifezm,"forests, mountains, wilderness, waterfalls, trees, rivers"
Vi O Lach Pass,Quang Ngai,"Located more than 1,300m above sea level, the winding roads along with the poetic atmosphere always bring beautiful beauty and rows of green grass growing on both sides of the road when visitors go up the pass. The most impressive, most interesting feature",4.0/5,http://surl.li/izldds,"Pass, romantic, winding, winding, road, 1300m"
Ha Long Bay,Quang Ninh,"It is one of the world natural heritage sites recognized by UNESCO. With an area of ​​1553km2, nearly 2000 large and small islands,
Ha Long Bay is blessed by nature with a system of caves and rocky islands that are both diverse and beautiful.",4.8/5,http://surl.li/oadeki,"UNESCO, islands, caves, rocky islands"
Bai Chay Beach,Quang Ninh,"Bai Chay always attracts many tourists to visit, experience and swim. The beach also has additional sea sports activities such as canoeing, parasailing or inflatable houses so that visitors can enjoy more advanced services.",3.9/5,http://surl.li/saniob,"Beach, swimming, parasailing, inflatable house"
Ha Long Park,Quang Ninh,"When traveling to Ha Long, you definitely should not miss Sun World Halong Park - a famous entertainment complex for all ages. If you have ever been to VinWonders, Ha Long Park is also a similar paradise, but much more bustling.",4.4/5,http://surl.li/kdadyl,"park, bustle, entertainment"
Cua Van fishing village,Quang Ninh,"Not only can visitors enjoy the quiet and peaceful space here, visitors also have more knowledge about the cultural and daily life of fishermen. The fishermen here are extremely friendly and hospitable. Passengers can row basket boats, fish, squid fishing... to better understand the life of fishermen.",4.6/5,http://surl.li/mxcags,"quiet, peaceful, life, culture, fishermen, friendly, hospitable, boating, fish cutting, squid fishing"
Thien Cung Cave,Quang Ninh,"With a complex, multi-layered structure, the stalactites here have many strange shapes. This cave has been invested
Full lighting system. Images of birds, flowers, and images of people's daily activities are carved inside the cave. Many archaeological vestiges have been found that demonstrate important historical values ​​through the ages.",4.4/5,http://surl.li/pzwmqk,"stalactites, carvings, traces, archeology, history"
Truong Son National Martyrs Cemetery,Quang Tri,"The place marks the losses, demonstrating the most brutal acts of foreign invaders. This place has gone down in history, a symbol of tragedy and heroism of patriots who put independence and national destiny first.",4.8/5,http://surl.li/mebyuu,"mark, lose, prove, brutal, historical, heroic,
patriotism, independence, destiny."
Vinh Moc Tunnels,Quang Tri,"This project is deep underground, dug by people during the resistance war against the US. The tunnels include many areas such as schools, logistics warehouses, hospitals, military areas and family areas.",4.6/5,http://surl.li/ogxfcj,"deep, underground, resistance"
Cua Tung Beach,Quang Tri,"Coming to this beach in the summer, you will see the peaceful beauty of blue sea and white sand. The quiet scene at sunset makes many hearts fascinated.",4.3/5,http://surl.li/bxuyel,"Beach, blue sea, white sand, quiet,"
Vien Thao Mien flower hill,Quang Tri,"Stands out with its brilliant flower fields that bloom all year round. The weather here is extremely cool so growing flowers is quite convenient. Quang Tri tourist destination has enough roses, daisies, and yellow mustard flowers. In particular, if you love buckwheat flowers, you cannot miss Mien Vien Thao flowers.",4.3/5,http://surl.li/cidfnv,"Flower fields, love flowers, cool"
Cu Vo Peak,Quang Tri,"Very suitable for groups of friends going on trips. Extremely attractive to young people who come to hunt clouds. In the early morning, standing at the mountain, white clouds open before your eyes. The moment the sunlight shines down is truly beautiful.",,http://surl.li/yoyuch,"Hills, cloud hunting, backpacking, mountains, white clouds"
